candidate,layer,proj,fp_parity_rel,A_only_nmse,W_only_nmse,AW_nmse,interaction_nmse,AW_cosine,AW_sqnr_db,max_abs_err_AW,verdict,n_rows
Random_s101,1,K,3.889872004947392e-06,0.0028363990131765604,0.0035890857689082623,0.006492791697382927,6.730691529810429e-05,0.996766984462738,21.875685299977654,8.285100936889648,mixed,8000
Random_s101,1,V,2.2427529984270222e-06,0.013451362028717995,0.017125263810157776,0.030948301777243614,0.00037167593836784363,0.9848911762237549,15.093631769833442,6.382632255554199,mixed,8000
Random_s101,2,K,3.348224026922253e-06,0.004918097052723169,0.006668965797871351,0.01170707680284977,0.00012001395225524902,0.9942103624343872,19.315515325003133,7.952297687530518,mixed,8000
Random_s101,2,V,3.1226363716996275e-06,0.011463853530585766,0.014171727001667023,0.025922853499650955,0.00028727296739816666,0.9872786402702332,15.863171945088787,7.846305847167969,mixed,8000
Random_s101,3,K,4.778628863277845e-06,0.0051898229867219925,0.006635904777795076,0.011960186064243317,0.0001344582997262478,0.994055986404419,19.222620639892806,8.392005920410156,mixed,8000
Random_s101,3,V,2.6672303192754043e-06,0.014975341036915779,0.019292322918772697,0.0346294566988945,0.00036179274320602417,0.983104944229126,14.605543220376905,10.43293571472168,mixed,8000
Random_s101,4,K,2.687286951186252e-06,0.0052199275232851505,0.006718259304761887,0.01206428837031126,0.0001261015422642231,0.9940013885498047,19.1849829049468,8.354812622070312,mixed,8000
Random_s101,4,V,2.843499714799691e-06,0.018500270321965218,0.023112129420042038,0.042062826454639435,0.00045042671263217926,0.9795897006988525,13.761015478073222,10.477240562438965,mixed,8000
Random_s102,0,K,2.630260496516712e-06,0.006108519621193409,0.007824976928532124,0.01408079918473959,0.00014730263501405716,0.9930187463760376,18.513726952171613,11.807842254638672,mixed,8000
Random_s102,0,V,3.6046653804078232e-06,0.01149806845933199,0.014591864310204983,0.026373274624347687,0.0002833418548107147,0.987066924571991,15.788359429031715,5.304515838623047,mixed,8000
Random_s102,1,K,3.6920816910424037e-06,0.002895517274737358,0.0035712372045964003,0.006533307489007711,6.655300967395306e-05,0.996742844581604,21.84866901333116,7.904150009155273,mixed,8000
Random_s102,1,V,2.3446962131856708e-06,0.01375434547662735,0.01730438321828842,0.03141748905181885,0.00035876035690307617,0.9846420288085938,15.028285275874318,6.028499126434326,mixed,8000
Random_s102,2,K,3.4877334655902814e-06,0.0050303079187870026,0.006351953372359276,0.011513734236359596,0.00013147294521331787,0.9942965507507324,19.387837992872235,8.85552978515625,mixed,8000
Random_s102,2,V,3.01111367662088e-06,0.01171708945184946,0.014774451963603497,0.02678932622075081,0.00029778480529785156,0.9868696928024292,15.72038209209624,8.095287322998047,mixed,8000
Random_s102,3,K,2.700963932511513e-06,0.005319373216480017,0.006591963116079569,0.012041195295751095,0.00012985896319150925,0.9940299391746521,19.193303997407543,8.814580917358398,mixed,8000
Random_s102,3,V,3.0906001029507024e-06,0.01532126683741808,0.01999099925160408,0.03567763790488243,0.00036537181586027145,0.9826078414916992,14.476039065053705,11.535579681396484,mixed,8000
Random_s102,4,K,3.2087007184600225e-06,0.005339661613106728,0.0066627864725887775,0.01213319506496191,0.0001307469792664051,0.9940005540847778,19.160248202079323,8.60782241821289,mixed,8000
Random_s102,4,V,3.021218390131253e-06,0.01895924098789692,0.02326640859246254,0.04265207052230835,0.0004264209419488907,0.9793123602867126,13.7005988138774,9.882271766662598,mixed,8000
Random_s103,0,K,2.912074251071317e-06,0.006031692493706942,0.0078232167288661,0.014008003287017345,0.0001530940644443035,0.9930787086486816,18.536237650161777,11.601816177368164,mixed,8000
Random_s103,0,V,3.230154788980144e-06,0.01136913150548935,0.01477143820375204,0.026441065594553947,0.0003004958853125572,0.9870184659957886,15.777210464439852,5.810641288757324,mixed,8000
Random_s103,1,K,3.2965015179797774e-06,0.0028778163250535727,0.0036454154178500175,0.0065915402956306934,6.830855272710323e-05,0.9967218637466431,21.81013088633845,8.199075698852539,mixed,8000
Random_s103,1,V,2.4466396553179948e-06,0.013601932674646378,0.01713188737630844,0.031069206073880196,0.0003353860229253769,0.9848282337188721,15.076698443355703,6.448433876037598,mixed,8000
Random_s103,2,K,3.6272426768846344e-06,0.004978429526090622,0.006159619428217411,0.011252062395215034,0.0001140134409070015,0.9944185018539429,19.48767868239644,9.122526168823242,mixed,8000
Random_s103,2,V,2.7323069389240118e-06,0.01160010788589716,0.014883137308061123,0.0267706960439682,0.0002874508500099182,0.9869140386581421,15.723403369144966,7.600968360900879,mixed,8000
