ds,prompt,cycle_prefix,layer,arm,K_ctx_nmse,V_ctx_nmse,score_nmse,softmax_kl_mean,softmax_tv_mean,top1_agree,attention_dtype
mtbench,2,93,0,rc1,0.010010834783315659,0.018875785171985626,0.009403223171830177,0.02677471749484539,0.08404481410980225,0.8500000238418579,bf16 (all arms)
mtbench,2,93,1,w4a4,0.08928544074296951,0.2995445132255554,0.06961379945278168,0.231955885887146,0.21796829998493195,0.6343750357627869,bf16 (all arms)
mtbench,2,93,1,rc1,0.0048036421649158,0.024003632366657257,0.04536664858460426,0.13712351024150848,0.12029265612363815,0.824999988079071,bf16 (all arms)
mtbench,2,93,2,w4a4,0.13666918873786926,0.2525165379047394,0.017345445230603218,0.1973024308681488,0.2239372283220291,0.47187501192092896,bf16 (all arms)
mtbench,2,93,2,rc1,0.009768319316208363,0.019892340525984764,0.00149532500654459,0.04695155844092369,0.1124386340379715,0.6937500238418579,bf16 (all arms)
mtbench,2,93,3,w4a4,0.1158747524023056,0.2877557873725891,0.017503509297966957,0.2844843566417694,0.26350030303001404,0.6156250238418579,bf16 (all arms)
mtbench,2,93,3,rc1,0.008182085119187832,0.024104848504066467,0.0027448718901723623,0.02756604552268982,0.07825946062803268,0.8812500238418579,bf16 (all arms)
mtbench,2,93,4,w4a4,0.11613917350769043,0.38129353523254395,0.01889057643711567,0.3188072443008423,0.2846985459327698,0.640625,bf16 (all arms)
mtbench,2,93,4,rc1,0.00810412410646677,0.03275204822421074,0.002118601929396391,0.023349393159151077,0.07591094821691513,0.887499988079071,bf16 (all arms)
mtbench,2,324,0,w4a4,0.1749996542930603,0.2658001780509949,0.202638640999794,0.3799873888492584,0.3211844861507416,0.44062501192092896,bf16 (all arms)
mtbench,2,324,0,rc1,0.010981501080095768,0.0191922876983881,0.013213133439421654,0.02855823002755642,0.09116512537002563,0.8343750238418579,bf16 (all arms)
mtbench,2,324,1,w4a4,0.05556194484233856,0.30027443170547485,0.04952040687203407,0.16957798600196838,0.18880507349967957,0.7250000238418579,bf16 (all arms)
mtbench,2,324,1,rc1,0.002937167650088668,0.02258695662021637,0.015724005177617073,0.10101976245641708,0.11863485723733902,0.828125,bf16 (all arms)
mtbench,2,324,2,w4a4,0.14418166875839233,0.25878506898880005,0.04591777175664902,0.15701015293598175,0.1990821808576584,0.606249988079071,bf16 (all arms)
