view,out_bin,in_bin,bin_rms
stock,9,25,0.10029663890600204
stock,9,26,0.09897416830062866
stock,9,27,0.09908479452133179
stock,9,28,0.09925775974988937
stock,9,29,0.1006900817155838
stock,9,30,0.10057125985622406
stock,9,31,0.09889094531536102
stock,9,32,0.11924327164888382
stock,9,33,0.11865919083356857
stock,9,34,0.11807814985513687
stock,9,35,0.11897597461938858
stock,9,36,0.11803921312093735
stock,9,37,0.11871220171451569
stock,9,38,0.11835498362779617
stock,9,39,0.11845038831233978
stock,9,40,0.11782924830913544
stock,9,41,0.118674136698246
stock,9,42,0.11710581183433533
stock,9,43,0.11816410720348358
stock,9,44,0.11870644986629486
stock,9,45,0.11671154201030731
stock,9,46,0.11852660775184631
stock,9,47,0.11828593909740448
stock,9,48,0.0763801857829094
stock,9,49,0.0766618475317955
stock,9,50,0.077718585729599
stock,9,51,0.07797243446111679
stock,9,52,0.07758038491010666
stock,9,53,0.07660650461912155
stock,9,54,0.07624339312314987
stock,9,55,0.07759976387023926
stock,9,56,0.07733838260173798
stock,9,57,0.07660622149705887
stock,9,58,0.07736619561910629
stock,9,59,0.07708785682916641
stock,9,60,0.07796639204025269
stock,9,61,0.07769417017698288
stock,9,62,0.07792720943689346
stock,9,63,0.07739629596471786
stock,9,64,0.062195561826229095
stock,9,65,0.0626339241862297
stock,9,66,0.061320044100284576
stock,9,67,0.062195487320423126
stock,9,68,0.06275326013565063
stock,9,69,0.062242284417152405
stock,9,70,0.06212003529071808
stock,9,71,0.062435686588287354
stock,9,72,0.06234261393547058
stock,9,73,0.06343232095241547
stock,9,74,0.06162828579545021
stock,9,75,0.06237936019897461
stock,9,76,0.06278083473443985
stock,9,77,0.06235522776842117
stock,9,78,0.06227942183613777
stock,9,79,0.06261584162712097
stock,10,0,0.13915163278579712
stock,10,1,0.1412792056798935
stock,10,2,0.13942226767539978
stock,10,3,0.14257614314556122
stock,10,4,0.14060543477535248
stock,10,5,0.13763545453548431
stock,10,6,0.14387954771518707
stock,10,7,0.14107903838157654
stock,10,8,0.14080055058002472
stock,10,9,0.14853553473949432
stock,10,10,0.13990770280361176
stock,10,11,0.1403096318244934
stock,10,12,0.14488433301448822
stock,10,13,0.14121276140213013
stock,10,14,0.1387815922498703
stock,10,15,0.13878333568572998
stock,10,16,0.09929273277521133
stock,10,17,0.09893444925546646
stock,10,18,0.09880824387073517
stock,10,19,0.09809955209493637
stock,10,20,0.09771270304918289
stock,10,21,0.09908965229988098
stock,10,22,0.09976410865783691
stock,10,23,0.0990343764424324
