module,official_sha,inprocess_sha,identical
model.layers.28.self_attn.k_proj.module,89e43433f9b98e10,89e43433f9b98e10,True
model.layers.28.self_attn.o_proj,4c5b2132f318fe5e,4c5b2132f318fe5e,True
model.layers.28.self_attn.o_proj.module,4c5b2132f318fe5e,4c5b2132f318fe5e,True
model.layers.28.self_attn.q_proj,df1aa7cf41a335f4,df1aa7cf41a335f4,True
model.layers.28.self_attn.q_proj.module,df1aa7cf41a335f4,df1aa7cf41a335f4,True
model.layers.28.self_attn.v_proj,c8b9c11dc37bdc09,c8b9c11dc37bdc09,True
model.layers.28.self_attn.v_proj.module,c8b9c11dc37bdc09,c8b9c11dc37bdc09,True
model.layers.29.mlp.down_proj,69c2dca1a64afb59,69c2dca1a64afb59,True
model.layers.29.mlp.down_proj.module,69c2dca1a64afb59,69c2dca1a64afb59,True
model.layers.29.mlp.gate_proj,0fcbf221351f006e,0fcbf221351f006e,True
model.layers.29.mlp.gate_proj.module,0fcbf221351f006e,0fcbf221351f006e,True
model.layers.29.mlp.up_proj,4e51b0785de31132,4e51b0785de31132,True
model.layers.29.mlp.up_proj.module,4e51b0785de31132,4e51b0785de31132,True
model.layers.29.self_attn.k_proj,95dd80503ff66691,95dd80503ff66691,True
model.layers.29.self_attn.k_proj.module,95dd80503ff66691,95dd80503ff66691,True
model.layers.29.self_attn.o_proj,d0143fc72603f5f8,d0143fc72603f5f8,True
model.layers.29.self_attn.o_proj.module,d0143fc72603f5f8,d0143fc72603f5f8,True
model.layers.29.self_attn.q_proj,af8a9850572b8f63,af8a9850572b8f63,True
model.layers.29.self_attn.q_proj.module,af8a9850572b8f63,af8a9850572b8f63,True
model.layers.29.self_attn.v_proj,152f77926f341ac0,152f77926f341ac0,True
model.layers.29.self_attn.v_proj.module,152f77926f341ac0,152f77926f341ac0,True
model.layers.3.mlp.down_proj,3ced993f6c762fbc,3ced993f6c762fbc,True
